sn,source_sch,school_nam,school_cat,school_set,district,sector,cell,village,latitude,longitude,electricit,internet_a,num_studen,num_teache,computers,uuid,connectivi,giga_schoo,2G,3G,4G
2047,340801,GS GITEBE,GOVERNMENT_AIDED,12YBE,NYABIHU,MURINGA,MWIYANIKE,GITEBE,-1.707277778,29.54958333,ON GRID,FOUR_G,2917,34,,317058dd-970b-4813-a56d-ce5148a561b0,4G,G_RWA_02047,2,1,
2048,370506,GS NYAMASHEKE A,GOVERNMENT_AIDED,12YBE,NYAMASHEKE,KAGANO,NINZI,GIKUYU,-2.3405,29.09036,ON GRID,FOUR_G,2917,43,,f27c9a51-75e7-40a8-84c2-11f6c2840555,4G,G_RWA_02048,3,3,3
2049,430208,GS KALINZI,GOVERNMENT_AIDED,12YBE,MUSANZE,CYUVE,KABEZA,KARINZI,-1.476694444,29.63522222,ON GRID,FOUR_G,3185,45,,08d09fe0-924c-446f-bee3-27046286c9a2,4G,G_RWA_02049,3,3,3
2050,451502,G S RUBAYA,GOVERNMENT_AIDED,12YBE,GICUMBI,RUBAYA,MUGURAMO,CENTRE RUBAYA,-1.461944444,29.99861111,ON GRID,FOUR_G,3359,45,,20392bf7-f2d3-48d8-af0e-1e311ee9552e,4G,G_RWA_02050,3,,
2051,360504,GIHEKE,GOVERNMENT_AIDED,12YBE,RUSIZI,GIHEKE,GIHEKE,RWUMVANGOMA,-2.47314,28.977,ON GRID,FOUR_G,3403,61,,7763775a-3cc2-41c6-8846-158d8f2359be,4G,G_RWA_02051,3,3,3
2052,240712,RUGANGO,GOVERNMENT_AIDED,12YBE,HUYE,MBAZI,RUGANGO,KAMUNYINYA,-2.54511,29.70372,ON GRID,FOUR_G,3700,47,,828691bc-6c2b-4a41-af67-02a1dced13e0,4G,G_RWA_02052,3,3,3
2053,280906,RUYANZA,PUBLIC,12YBE,KAMONYI,NYARUBAKA,RUYANZA,KANOMBE,-2.081833333,29.81361111,ON GRID,FOUR_G,3983,69,,389b37a1-efba-4f8c-8463-d1ec217f81ac,4G,G_RWA_02053,3,3,3
2054,560102,GSKANSANA,GOVERNMENT_AIDED,12YBE,NGOMA,GASHANDA,MUTSINDO,RWAKAVUNA,-2.155388889,30.49591667,ON GRID,FOUR_G,4010,56,,6921e867-4f62-453d-91de-92fd4407aa9c,4G,G_RWA_02054,3,2,3
2055,550506,NYAKARAMBI,PUBLIC,12YBE,KIREHE,KIREHE,NYABIKOKORA,BWIZA,-2.27631,30.66806,ON GRID,FOUR_G,4251,75,,3c8d030a-8200-42b6-8c9e-ff1744a36763,4G,G_RWA_02055,3,3,3
2056,420205,KIRUKU,PUBLIC,12YBE,GAKENKE,COKO,KIRUKU,GATARE,-1.74008,29.84811,ON GRID,NONE,185,12,,d71b168a-2a87-497f-aee7-26f312095479,None,G_RWA_02056,2,,3
2057,421303,BWENDA,PUBLIC,12YBE,GAKENKE,MUHONDO,BWENDA,GATARE,-1.84617,29.89469,OFF GRID,NONE,199,20,,889df4a8-65ea-4a02-8863-fd9e770df001,None,G_RWA_02057,3,3,3
2058,321106,KAZO SECONDARY(GS),GOVERNMENT_AIDED,12YBE,RUTSIRO,NYABIRASI,NGOMA,KAZO,-1.770722222,29.372,OFF GRID,NONE,202,20,,d0796453-a926-4243-a595-3a064a3606f5,None,G_RWA_02058,3,3,
2059,540905,SOS,PRIVATE,12YBE,KAYONZA,NYAMIRAMA,RURAMBI,KABUYE,-1.9504722,30.5186666,ON GRID,NONE,205,20,,3daac181-6041-4f73-8d3f-413d91b1586f,None,G_RWA_02059,3,3,3
2060,241305,GS KABUSANZA,GOVERNMENT_AIDED,12YBE,HUYE,SIMBI,KABUSANZA,RUSUMA,-2.516666667,29.708,ON GRID,NONE,217,20,,62e8964d-99a8-4a25-b6c2-72fd6e51812f,None,G_RWA_02060,3,2,3
2061,410805,GS RUTABO,PUBLIC,12YBE,RULINDO,KISARO,MUBUGA,NYAKAREKARE,-1.657222222,30.03416667,OFF GRID,NONE,228,11,,a6fda3a2-e876-4b33-a282-6136d478dd75,None,G_RWA_02061,3,2,3
2062,340908,GS RUTAZIGURWA,PUBLIC,12YBE,NYABIHU,RAMBURA,MUTAHO,RUTAZIGURWA,-1.666444444,29.45894444,OFF GRID,NONE,228,17,,1f6c13f1-98d2-4b9d-8177-3bc04e6e0a9c,None,G_RWA_02062,2,2,
2063,441004,GROUPE SCOLAIRE NYABIZI,GOVERNMENT_AIDED,12YBE,BURERA,KINYABABA,RUTOVU,NYABIZI II,-1.32483,29.82989,OFF GRID,NONE,244,20,,b470af04-ba80-4069-a457-bf4562e449d6,None,G_RWA_02063,,,
2064,240309,Gs MUHEMBE,GOVERNMENT_AIDED,12YBE,HUYE,KARAMA,MUHEMBE,UWIMPUNDU,-2.629,29.65231,OFF GRID,NONE,246,12,,488ab261-f8d2-46f6-adcc-454aba2e26c4,None,G_RWA_02064,3,2,3
2065,540209,GSKABARE II,GOVERNMENT_AIDED,12YBE,KAYONZA,KABARE,RUBIMBA,BARA,-2.078583333,30.64322222,OFF GRID,NONE,262,17,,3f91eaeb-2fc5-4265-9670-825ae236e5d3,None,G_RWA_02065,3,3,3
2066,120405,GS GISOZI I,PUBLIC,12YBE,GASABO,GISOZI,MUSEZERO,GASAVE,-1.92239,30.07439,ON GRID,NONE,265,18,,e030eebc-97c5-42b3-8a27-200773e87458,None,G_RWA_02066,3,3,3
2067,310705,GS WITONGO,GOVERNMENT_AIDED,12YBE,KARONGI,MURUNDI,NZARATSI,GISHYIKIRO,-2.12278,29.54544,OFF GRID,NONE,275,20,,2502481b-fb9e-4bb7-9e02-43d5df8a8821,None,G_RWA_02067,3,3,3
2068,531205,Kirwa P/S,GOVERNMENT_AIDED,12YBE,GATSIBO,REMERA,KIGABIRO,AMATABA,-1.6861111,30.3322222,OFF GRID,NONE,291,20,,cbd13802-e3c8-4067-9da3-c0716a505807,None,G_RWA_02068,3,3,3
2069,421008,NYUNDO I,PUBLIC,12YBE,GAKENKE,MATABA,NYUNDO,KARAMBI,-1.71206,29.76589,OFF GRID,NONE,306,20,,d095ec0f-8c96-426b-b36e-fc67af6176f7,None,G_RWA_02069,3,3,3
2070,310115,KARONGI A,GOVERNMENT_AIDED,12YBE,KARONGI,BWISHYURA,NYARUSAZI,BWISHYURA,-2.0894722,29.3650277,OFF GRID,NONE,309,20,,7741a2c7-c5c6-4203-8b9f-89b09891af1c,None,G_RWA_02070,3,3,3
2071,310805,GS GISAYURA,GOVERNMENT_AIDED,12YBE,KARONGI,MUTUNTU,GISAYURA,RYARUGANGO,-2.25467,29.43356,OFF GRID,NONE,313,20,,f324bc54-7819-44f1-8756-31a16280dfdb,None,G_RWA_02071,3,2,3
2072,570207,Rwinume,GOVERNMENT_AIDED,12YBE,BUGESERA,JURU,RWINUME,GISORORO,-2.136138889,30.22525,OFF GRID,NONE,316,20,,227d8d9a-94c4-427e-8b71-ed64728e8f3a,None,G_RWA_02072,3,3,3
2073,250509,GSMusenyi,GOVERNMENT_AIDED,12YBE,NYAMAGABE,KADUHA,MUSENYI,BURENGO,-2.338722222,29.48747222,OFF GRID,NONE,317,20,,dd66f200-b0f5-4019-b3f8-17dc20652b2c,None,G_RWA_02073,3,3,3
2074,410313,GS BUSHOKI,PUBLIC,12YBE,RULINDO,BUSHOKI,MUKOTO,RUSAVE,-1.714194444,29.89911111,ON GRID,NONE,318,14,,5f16e124-a0db-4aca-ab97-844d074f7454,None,G_RWA_02074,3,3,3
2075,231204,GS ZIRAMBI,GOVERNMENT_AIDED,12YBE,NYARUGURU,RUHERU,RUYENZI,ZIRAMBI,-2.75669,29.44336,ON GRID,NONE,322,20,,aa5e8967-a869-4124-8b58-fcf081e48567,None,G_RWA_02075,3,1,
2076,360707,NYABIHANGA,GOVERNMENT_AIDED,12YBE,RUSIZI,GIKUNDAMVURA,MPINGA,BIRINDIRO,-2.61775,29.04661,ON GRID,NONE,335,20,,91e62e02-0a07-4c09-b5c5-de70296b10d3,None,G_RWA_02076,3,3,3
2077,310307,GS SHYA,PUBLIC,12YBE,KARONGI,GISHYITA,KIGARAMA,KABWENGE,-2.15494,29.27653,OFF GRID,NONE,341,20,,e2c64631-0e13-4cde-b3c9-b02a5dbf8d4f,None,G_RWA_02077,3,3,3
2078,420806,GS KARAMBO,GOVERNMENT_AIDED,12YBE,GAKENKE,KARAMBO,KARAMBO,CYUMBA,-1.62861,29.83917,ON GRID,NONE,342,16,,f9f085ba-4d29-4e2c-a529-d01167674eed,None,G_RWA_02078,3,1,3
2079,330512,GS RUSONGATI,GOVERNMENT_AIDED,12YBE,RUBAVU,KANAMA,RUSONGATI,GIHURIZO,-1.7238,29.3778,OFF GRID,NONE,342,20,,56fdc31e-3e17-4c8b-b7f3-98893a6a48fa,None,G_RWA_02079,3,3,3
2080,410202,BUTANGAMPUNDU,GOVERNMENT_AIDED,12YBE,RULINDO,BUREGA,BUTANGAMPUND,GASHINGE,-1.738944444,30.06247222,ON GRID,NONE,350,17,,f9807558-ac37-4077-b8cc-88530655f637,None,G_RWA_02080,3,1,3
2081,360404,GS GASHONGA CATHOLIQUE,GOVERNMENT_AIDED,12YBE,RUSIZI,GASHONGA,RUSAYO,RYAGATEBE,-2.59856,28.93303,ON GRID,NONE,351,13,,88c65ef2-c73d-4787-b2d4-396547c0da03,None,G_RWA_02081,3,3,3
2082,560406,GSMULINJA,PUBLIC,12YBE,NGOMA,KAZO,BIRENGA,MURUSENYI,-2.2105,30.486,ON GRID,NONE,359,19,,76d765f2-ec15-47c9-ba66-6bbdae7d2217,None,G_RWA_02082,3,1,3
2083,521306,GS GACUNDEZI,PUBLIC,12YBE,NYAGATARE,RWIMIYAGA,GACUNDEZI,RUKUNDO I,-1.281,30.4265,ON GRID,NONE,360,20,,95b2f8dc-1756-419b-851d-eb4b65897e1d,None,G_RWA_02083,3,3,3
2084,451404,GS RWAGIHURA,GOVERNMENT_AIDED,12YBE,GICUMBI,NYANKENKE,RWAGIHURA,KAGOGO,-1.58642,30.03047,ON GRID,NONE,361,17,,a18bf4d8-9836-4528-8dac-d6da23f7d0ef,None,G_RWA_02084,1,,3
2085,251006,MUTIWINGOMA,GOVERNMENT_AIDED,12YBE,NYAMAGABE,MBAZI,MUTIWINGOMA,GATWA,-2.366,29.56397,OFF GRID,NONE,365,20,,b271f38c-410d-471a-aeee-7f3c754c0ad7,None,G_RWA_02085,2,1,3
2086,370804,GS KARENGERA CATH,GOVERNMENT_AIDED,12YBE,NYAMASHEKE,KARENGERA,HIGIRO,RUKUNGURI,-2.53414,29.04294,ON GRID,NONE,367,16,,be53f484-a3fe-4eea-85f9-1bdd9cc41fec,None,G_RWA_02086,2,2,3
2087,560706,G S   MVUMBA,GOVERNMENT_AIDED,12YBE,NGOMA,MURAMA,MVUMBA,MVUMBA,-2.195555556,30.55477778,ON GRID,NONE,371,11,,0608bcac-2b3b-4579-a1f1-8eb3e65976de,None,G_RWA_02087,3,3,3
2088,320604,KIBARA SECONDARY(GS),PUBLIC,12YBE,RUTSIRO,MUKURA,KAGEYO,SITE MUKURA YA 1,-2.010777778,29.49094444,OFF GRID,NONE,375,11,,30edf645-1b25-4b63-b5b4-77bb42089d5a,None,G_RWA_02088,3,1,3
2089,251505,MUTENGERI,GOVERNMENT_AIDED,12YBE,NYAMAGABE,NKOMANE,MUTENGERI,MUTENGERI,-2.34711,29.40142,OFF GRID,NONE,380,11,,f163989e-9989-4cd6-b5c8-338bfd49cc82,None,G_RWA_02089,3,3,3
2090,121008,GS KAGUGU CATHOLIQUE,GOVERNMENT_AIDED,12YBE,GASABO,KINYINYA,KAGUGU,GICIKIZA,-1.91308,30.08714,OFF GRID,NONE,385,18,,a39d4ecc-7f41-4ec5-85aa-18ca19d8bb28,None,G_RWA_02090,3,3,3
2091,360701,EP GIKUNDAMVURA,GOVERNMENT_AIDED,12YBE,RUSIZI,GIKUNDAMVURA,KIZURA,KAMABUYE,-2.65469,29.04608,OFF GRID,NONE,385,20,,08cbf4b3-05d5-4c77-abaa-5d1e9d8a51ac,None,G_RWA_02091,3,3,3
2092,520201,GS BUSHARA,PUBLIC,12YBE,NYAGATARE,KARAMA,KABUGA,KABEZA,-1.356353,30.19856,ON GRID,NONE,402,20,,3c8c5435-96ea-4c09-9003-1d253e79cfa0,None,G_RWA_02092,3,3,3
2093,320801,EP GIHINGA I,GOVERNMENT_AIDED,12YBE,RUTSIRO,MUSASA,GISIZA,GITOVU,-1.925777778,29.35666667,OFF GRID,NONE,403,14,,4105f2a5-9d89-4191-8aa1-5008fe9b18fd,None,G_RWA_02093,3,3,3
2094,330802,GS BISIZI,PUBLIC,12YBE,RUBAVU,NYAKIRIBA,BISIZI,MWUMBA,-1.672444444,29.33705556,ON GRID,NONE,405,20,,5e8dbf1f-9cc8-4140-a91f-e8f32de3869b,None,G_RWA_02094,3,3,3
2095,540304,EP RUBIRA,GOVERNMENT_AIDED,12YBE,KAYONZA,KABARONDO,KABURA,AGATARE,-2.040888889,30.53280556,ON GRID,NONE,409,20,,595ae99e-32ac-432e-8bfa-09f381d09316,None,G_RWA_02095,3,3,3
2096,330806,GS MUTURA II,GOVERNMENT_AIDED,12YBE,RUBAVU,NYAKIRIBA,NYARUSHYAMBA,BAZIRETE,-1.655138889,29.36069444,OFF GRID,NONE,411,17,,0d2a0713-5333-4a5a-8d2e-7e05a79042e8,None,G_RWA_02096,3,3,3
2097,441006,Gs KAGANDA,GOVERNMENT_AIDED,12YBE,BURERA,KINYABABA,KAGANDA,GISIRWE,-1.41561,29.79278,OFF GRID,NONE,411,20,,4cac2dc5-0a7d-4ae6-b5c6-a6b69655dd92,None,G_RWA_02097,3,3,3
2098,421802,GSMURAMBI II,GOVERNMENT_AIDED,12YBE,GAKENKE,RUSASA,MURAMBI,BUHARABUYE,-1.65147,29.64772,ON GRID,NONE,428,16,,eaf71664-52e8-45ae-ad38-bcaf7111f2dc,None,G_RWA_02098,3,3,3
2099,310920,RWIMPIRI,PUBLIC,12YBE,KARONGI,RUBENGERA,NYARUGENGE,KABAZI,-2.052,29.44444444,OFF GRID,NONE,434,17,,e89a0d12-8a15-4620-bf68-56333ea96fc7,None,G_RWA_02099,3,3,3
2100,270205,KIBYIMBA,GOVERNMENT_AIDED,12YBE,MUHANGA,KABACUZI,KIBYIMBA,GASHARU,-1.93108,29.72522,ON GRID,NONE,435,20,,af07a08e-4134-4421-b2ca-39884a8e3c50,None,G_RWA_02100,3,2,
2101,541211,GS NKONDO II,PUBLIC,12YBE,KAYONZA,RWINKWAVU,NKONDO,RURAMA,-1.927416667,30.63175,ON GRID,NONE,440,20,,b2fb253f-9050-4df7-b70e-cc9ec9c0fcea,None,G_RWA_02101,3,2,3
2102,360803,KABOZA,PUBLIC,12YBE,RUSIZI,GITAMBI,CYINGWA,MPINGA,-2.58653,28.97694,ON GRID,NONE,442,20,,2d9821be-28af-4615-8cb0-499b24f651df,None,G_RWA_02102,3,3,3
2103,541011,GS Rukara Catholique,GOVERNMENT_AIDED,12YBE,KAYONZA,RUKARA,RUKARA,KINUNGA I,-1.821777778,30.47855556,ON GRID,NONE,447,17,,30c0afd1-beb1-4a77-9dab-9a03c7198b9c,None,G_RWA_02103,3,3,3
2104,270112,GS SHOLI,GOVERNMENT_AIDED,12YBE,MUHANGA,CYEZA,SHORI,RUBIMBA,-1.99536,29.76083,OFF GRID,NONE,448,20,,ed95d89f-feed-4d91-9642-2d786804c4fc,None,G_RWA_02104,3,3,3
2105,320909,VUMBI SECONDARY(GS),GOVERNMENT_AIDED,12YBE,RUTSIRO,MUSHONYI,KAGURIRO,MUBUGA,-1.867416667,29.30213889,ON GRID,NONE,451,18,,09359b80-24b9-4c8d-b593-d1370854cdfe,None,G_RWA_02105,3,3,3
2106,420808,GS KIREBE,PUBLIC,12YBE,GAKENKE,KARAMBO,KIREBE,BUKUNGA,-1.6381666,29.81825,ON GRID,NONE,462,12,,d5d1d826-ef51-46e0-8716-d97c59403973,None,G_RWA_02106,3,2,3
2107,340603,EPGATOVU,PUBLIC,12YBE,NYABIHU,KINTOBO,NYAMUGARI,KARIYERI,-1.590194444,29.55972222,ON GRID,NONE,475,12,,e487030b-b46d-44b1-a899-4977adc9251e,None,G_RWA_02107,3,3,3
2108,370803,GS GASHASHI,GOVERNMENT_AIDED,12YBE,NYAMASHEKE,KARENGERA,GASHASHI,MWIYANDO,-2.50231,29.01242,OFF GRID,NONE,481,11,,3e5528a0-13c4-4656-abc9-cedfc8188fa8,None,G_RWA_02108,3,3,3
2109,530803,GS Bibare/Muhura,GOVERNMENT_AIDED,12YBE,GATSIBO,MUHURA,BIBARE,MARYOHE,-1.772694444,30.297,ON GRID,NONE,482,17,,c1e9d110-2a0e-4eb4-8757-651f2cc793fd,None,G_RWA_02109,3,3,3
2110,321010,SURE,GOVERNMENT_AIDED,12YBE,RUTSIRO,MUSHUBATI,SURE,KIVUMU,-2.008805556,29.37730556,OFF GRID,NONE,488,10,,f754d211-3759-47c5-9d7c-581d9b19fc2d,None,G_RWA_02110,3,3,3
2111,311320,GS NYABUBARE,GOVERNMENT_AIDED,12YBE,KARONGI,TWUMBA,BIHUMBE,NYABUBARE,-2.209305556,29.37336111,OFF GRID,NONE,504,17,,6af0685d-27b8-47b8-ba3f-37dd295a9a8d,None,G_RWA_02111,3,3,3
2112,360802,GS HANGABASHI,GOVERNMENT_AIDED,12YBE,RUSIZI,GITAMBI,HANGABASHI,KIREHE,-2.61564,28.99106,OFF GRID,NONE,509,20,,85033765-122c-4516-93d3-a4104d04aac5,None,G_RWA_02112,3,2,3
2113,360208,GASUMO,GOVERNMENT_AIDED,12YBE,RUSIZI,BUTARE,RWAMBOGO,GASUMO,-2.58872,29.12494,OFF GRID,NONE,512,17,,812bc534-e286-4c66-bba5-d17464db4fc4,None,G_RWA_02113,3,,3
2114,321108,GS NKULI,PUBLIC,12YBE,RUTSIRO,NYABIRASI,BUSUKU,GATARE,-1.7518333,29.37475,ON GRID,NONE,512,20,,529808b2-abd4-4668-8460-ee9edb43c4b1,None,G_RWA_02114,3,2,
2115,540610,GS RWAKABANDA,GOVERNMENT_AIDED,12YBE,KAYONZA,MURUNDI,RYAMANYONI,CYANDORIMANA,-1.758305556,30.54194444,ON GRID,NONE,514,12,,160e2d78-ca98-480f-bee4-8291231e06a0,None,G_RWA_02115,3,,3
2116,571405,Nyiragiseke,GOVERNMENT_AIDED,12YBE,BUGESERA,RWERU,KINTAMBWE,MABURANE,-2.35219,30.26625,ON GRID,NONE,515,14,,8d8e54b9-cf8e-4067-bddb-62356cc22d44,None,G_RWA_02116,3,1,3
2117,421901,GS BUSANANE,PUBLIC,12YBE,GAKENKE,RUSHASHI,BUSANANE,GISIZA,-1.68261,29.85922,ON GRID,NONE,516,17,,26f1e1c3-37d5-4712-8eda-c876bb9700c5,None,G_RWA_02117,2,,3
2118,271108,NSANGA,GOVERNMENT_AIDED,12YBE,MUHANGA,RUGENDABARI,NSANGA,NYUNDO,-1.95231,29.68569,OFF GRID,NONE,531,18,,2df34d64-19d4-49f8-bf42-91f571aba86b,None,G_RWA_02118,3,3,3
2119,540505,GS SHYANDA,GOVERNMENT_AIDED,12YBE,KAYONZA,MURAMA,BUNYENTONGO,GISUNZU,-2.030083333,30.59594444,ON GRID,NONE,531,20,,12c907a5-304f-4d27-b260-53e34b4c2bf3,None,G_RWA_02119,3,3,3
2120,410406,KADENDEGERI,PUBLIC,12YBE,RULINDO,BUYOGA,KARAMA,CYASENGE,-1.724861111,29.992,ON GRID,NONE,532,11,,cad1e39a-e71b-4e8b-a981-7542637d7545,None,G_RWA_02120,2,,
2121,340107,GS VUGA,GOVERNMENT_AIDED,12YBE,NYABIHU,BIGOGWE,KORA,KABUGA,-1.601638889,29.41916667,OFF GRID,NONE,532,17,,4b3139df-d085-4559-87e9-30978288cdc8,None,G_RWA_02121,3,3,3
2122,310512,E P GATAKA,GOVERNMENT_AIDED,12YBE,KARONGI,MUBUGA,KAGABIRO,KAGABIRO,-2.1205,29.32186,ON GRID,NONE,532,20,,57fca039-5db9-4a21-b482-f84c434e6984,None,G_RWA_02122,3,2,3
2123,540510,GS MUKO I,GOVERNMENT_AIDED,12YBE,KAYONZA,MURAMA,MUKO,REBEZO,-2.0605,30.58861111,ON GRID,NONE,532,20,,0d0d84f8-93cd-479e-a995-95d2794b7a4a,None,G_RWA_02123,3,3,3
2124,311104,GS KIBARI,GOVERNMENT_AIDED,12YBE,KARONGI,RUGANDA,NYAMUGWAGWA,KIBARI,-2.24069,29.45372,ON GRID,NONE,532,20,,1ec190a9-5568-452a-b47e-93071e854d41,None,G_RWA_02124,3,2,3
2125,310504,GS ST MICHEL DE MUBUGA,GOVERNMENT_AIDED,12YBE,KARONGI,MUBUGA,RYARUHANGA,RYARUHANGA,-2.13511,29.31594,OFF GRID,NONE,532,20,,360db223-15ab-4b1d-9943-a3ea6e2001a9,None,G_RWA_02125,3,3,3
2126,311314,GS NYARUTAGARA,GOVERNMENT_AIDED,12YBE,KARONGI,TWUMBA,KAVUMU,NYARUTAGARA,-2.22306,29.39811,OFF GRID,NONE,532,20,,a445d104-b8f0-4f64-b40a-5a3e688fdbb6,None,G_RWA_02126,3,,3
2127,271014,RONGI,GOVERNMENT_AIDED,12YBE,MUHANGA,RONGI,NYAMIRAMBO,RUGOGWE,-1.82125,29.75624,OFF GRID,NONE,532,20,,b562853b-87c6-4c61-a8d3-ccf9dc35ce8d,None,G_RWA_02127,3,3,
2128,310806,GS MANJI,GOVERNMENT_AIDED,12YBE,KARONGI,MUTUNTU,KANYEGE,MANJI,-2.278,29.38825,OFF GRID,NONE,532,20,,55c279af-1ea4-4c07-bcf5-559b2ac1b77c,None,G_RWA_02128,3,3,3
2129,410801,GS SAYO,GOVERNMENT_AIDED,12YBE,RULINDO,KISARO,SAYO,RUSONGATI,-1.668,30.02444444,OFF GRID,NONE,532,20,,48ad994f-7403-4b9f-a0e7-1e293f304cfa,None,G_RWA_02129,3,2,3
2130,311324,EP RUTABI,GOVERNMENT_AIDED,12YBE,KARONGI,TWUMBA,RUTABI,RUTABI,-2.20467,29.41161,OFF GRID,NONE,532,20,,188e327a-bb06-4f60-af2d-d50f8a1c610e,None,G_RWA_02130,3,1,3
2131,330305,GS GORA,GOVERNMENT_AIDED,12YBE,RUBAVU,CYANZARWE,GORA,GORA,-1.643027778,29.35536111,OFF GRID,NONE,532,20,,56c71934-5ffe-4c1b-9153-87afecfc56d8,None,G_RWA_02131,3,3,3
2132,260509,GSNYARUTOVU,GOVERNMENT_AIDED,12YBE,RUHANGO,KINIHIRA,MUYUNZWE,NYARUTOVU,-2.1719444,29.6409722,OFF GRID,NONE,532,20,,a953cb24-a19f-4bb8-9e08-6917c5b6d9e1,None,G_RWA_02132,3,1,3
2133,320607,MUKURA,GOVERNMENT_AIDED,12YBE,RUTSIRO,MUKURA,KAGANO,KAGANO,-2.0410555,29.4911666,OFF GRID,NONE,532,20,,d6fe7bc3-7328-4ac8-be0b-8c3b88505c0a,None,G_RWA_02133,3,,3
2134,121111,SINAI ACADEMY,PRIVATE,12YBE,GASABO,NDERA,KIBENGA,URUREMBO,-1.9675,30.17644,OFF GRID,NONE,532,20,,3bf8f9a1-1d5a-42e2-8a00-4c62b042fbf1,None,G_RWA_02134,3,3,3
2135,520111,UMUTARA DEAF SCHOOL,PRIVATE,12YBE,NYAGATARE,GATUNDA,KABEZA,MUVUMBA,-1.3857777,30.2342777,OFF GRID,NONE,532,20,,b53f4d45-7a01-4ea0-ac25-27973c5ad6b9,None,G_RWA_02135,3,3,3
2136,531306,GS MATUNGURU,PUBLIC,12YBE,GATSIBO,RUGARAMA,MATUNGURU,NGOMA,-1.6910277,30.4471388,ON GRID,NONE,532,20,,ff8d63aa-6dee-4a5c-a75a-14660d8745d4,None,G_RWA_02136,3,3,3
2137,531103,Gishikiri,PUBLIC,12YBE,GATSIBO,NYAGIHANGA,MURAMBI,KANYINYA,-1.56675,30.20361,OFF GRID,NONE,532,20,,d1303cfb-2f45-45a4-90ed-1a075d2dce9c,None,G_RWA_02137,2,2,3
2138,440705,GS KIBOGA,PUBLIC,12YBE,BURERA,GITOVU,MARIBA,KIBOGA,-1.49083,29.79758,OFF GRID,NONE,532,20,,867d37ff-4bfc-4f00-998f-47bd69a9caf0,None,G_RWA_02138,3,3,3
2139,520801,GS BUFUNDA,PUBLIC,12YBE,NYAGATARE,MUKAMA,BUFUNDA,BITABO,-1.4309444,30.2415833,OFF GRID,NONE,532,20,,4dcabca4-d993-4585-b734-19831d3b3b6c,None,G_RWA_02139,3,3,3
2140,411003,GS GITABAGE,GOVERNMENT_AIDED,12YBE,RULINDO,MBOGO,MUSHARI,BUKONGI,-1.7972222,29.9856388,ON GRID,NONE,541,20,,e2987553-848d-45e5-a264-d4896b20a799,None,G_RWA_02140,3,2,3
2141,260114,GS RWINYANA,GOVERNMENT_AIDED,12YBE,RUHANGO,BWERAMANA,RWINYANA,RWINYANA,-2.22494,29.68692,ON GRID,NONE,545,17,,b943009e-cfeb-4e60-af3a-2683bdf86799,None,G_RWA_02141,3,3,3
2142,330608,GS NYAMIRANGO,PUBLIC,12YBE,RUBAVU,KANZENZE,NYAMIRANGO,GASIZI,-1.651972222,29.38202778,ON GRID,NONE,546,17,,03770bee-8fe4-4076-89c2-8e1faafc1968,None,G_RWA_02142,3,3,3
2143,360113,GS KIBANGIRA,GOVERNMENT_AIDED,12YBE,RUSIZI,BUGARAMA,RYANKANA,GIHIGANO,-2.70528,29.04214,ON GRID,NONE,549,17,,728f3569-f9c9-4337-af27-837395962299,None,G_RWA_02143,3,3,3
2144,411204,GS NYABUKO,PUBLIC,12YBE,RULINDO,NGOMA,KABUGA,GATETE,-1.825805556,29.9755,ON GRID,NONE,549,20,,4f21a517-cd83-4b0b-aa02-e09c0b7428b5,None,G_RWA_02144,3,3,3
2145,331212,GS NKAMA,GOVERNMENT_AIDED,12YBE,RUBAVU,RUGERERO,RUSHUBI,KABASHARA,-1.69444,29.29083,ON GRID,NONE,551,21,,d4b333aa-8dbf-4c15-acd6-c9eb8d817bf2,None,G_RWA_02145,3,3,3
2146,321306,GSMUNGOTI,PUBLIC,12YBE,RUTSIRO,RUSEBEYA,REMERA,KIYANJA,-1.891555556,29.46058333,OFF GRID,NONE,564,16,,74d59031-65da-4fba-bcca-6ce1e3d15856,None,G_RWA_02146,3,,
2147,570904,Ntarama,PUBLIC,12YBE,BUGESERA,NTARAMA,CYUGARO,RUGARAMA,-2.11542,30.03778,OFF GRID,NONE,571,12,,7d63d975-e4bb-475a-89e7-113154ac43af,None,G_RWA_02147,3,3,3
2148,321109,NYABIRASI GS,GOVERNMENT_AIDED,12YBE,RUTSIRO,NYABIRASI,TERIMBERE,RYANYIRAMUNONKO,-1.747361111,29.34186111,OFF GRID,NONE,571,14,,d9d91ae9-9991-4fb4-9ccd-bc10e309de38,None,G_RWA_02148,3,3,
2149,530616,GS GAKONI CATHOLIC,GOVERNMENT_AIDED,12YBE,GATSIBO,KIRAMURUZI,GAKONI,KARUHURA,-1.82525,30.41561,ON GRID,NONE,574,14,,ea976d47-b73f-4ff3-97c5-d328e652515a,None,G_RWA_02149,3,3,3
2150,350407,GS  KABAYA ST RAPHAEL,GOVERNMENT_AIDED,12YBE,NGORORERO,KABAYA,KABAYA,BITARE,-1.751666667,29.55213889,OFF GRID,NONE,580,18,,0343b875-46dd-4435-8e18-e0a04584e517,None,G_RWA_02150,2,2,
2151,420106,KAMINA,GOVERNMENT_AIDED,12YBE,GAKENKE,BUSENGO,KAMINA,KAMINA,-1.63128,29.7345,OFF GRID,NONE,585,15,,b9e57154-4a95-4158-90fd-27867433cb59,None,G_RWA_02151,3,2,3
