tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.62451E+15,-2.73331,29.79333,415,415,220304,GS GIKORE,GOVERNMENT_AIDED,12YBE,GISAGARA,KANSI,SABUSARO,GIKORE,OFF GRID,WIMAX,3.5G,1591,34,368,1c7c4bc9-94c3-4f0f-b730-497139f3e8cd,G_RWA_00415,-2.73331,29.79333,45.65,36.96,17.39
2.62324E+15,-1.986916667,29.69172222,788,788,560504,EP NYAMATETE,PUBLIC,"""PRE_PRIMARY,PRIMARY""",MUHANGA,RUGENDABALI,GASAVE ,NYAMATETE,ON GRID,USB_MODEM,3G,672,12,294,78e5f0a8-5a3a-4377-bc37-f694c2c04524,G_RWA_00788,-1.986916667,29.69172222,33.12,57.14,9.74
2.62393E+15,-2.783666667,29.74652778,1256,1256,361717,EP RUHORORO,PUBLIC,PRIMARY,GISAGARA,NYANZA,UMUBANGA,AKIMANA,ON GRID,USB_MODEM,3G,342,20,192,3416fec8-8cf3-4259-9c0b-85f3b257342b,G_RWA_01256,-2.783666667,29.74652778,41.94,41.94,16.13
2.62061E+15,-2.49125,29.48088889,1484,1484,251708,TTC MBUGA,GOVERNMENT_AIDED,TTC,NYAMAGABE,UWINKINGI,MUNYEGE,MUNYEGE,ON GRID,NONE,None,3178,41,140,5749f802-21e5-43c2-ae7c-42d6bf5c221c,G_RWA_01484,-2.49125,29.48088889,36.36,54.55,9.09
2.62777E+15,-1.944722222,30.05333333,1513,1513,110104,GS CYAHAFI,PUBLIC,12YBE,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,ON GRID,FOUR_G,4G,1547,27,165,3c48c80b-221a-4731-9af2-28a1347ef96c,G_RWA_01513,-1.944722222,30.05333333,23.31,69.47,7.22
2.62143E+15,-1.828,29.5465833,1542,1542,350602,GS KAVUMU A,GOVERNMENT_AIDED,12YBE,NGORORERO,KAVUMU,BIREMBO,BUHUMA,OFF GRID,NONE,None,756,12,150,f45f6ce0-5a07-435f-8b0c-12409908ccb4,G_RWA_01542,-1.828,29.5465833,28.4,58.02,13.58
2.62385E+15,-2.555333333,29.74002778,1952,1952,240714,ES MUTUNDA,GOVERNMENT_AIDED,SECONDARY,HUYE,MBAZI,MUTUNDA,KINYANA,ON GRID,WIMAX,3.5G,2021,39,,5bc99d07-a9dc-458c-981a-b3fabc67f60f,G_RWA_01952,-2.555333333,29.74002778,31.76,60,8.24
2.61789E+15,-1.9213333,29.2639166,2161,2161,320102,BUGARURA,PUBLIC,12YBE,RUTSIRO,BONEZA,BUSHAKA,RUTAGARA,OFF GRID,NONE,None,616,17,,f0060ee0-29ee-44aa-855f-9a01a61b6554,G_RWA_02161,-1.9213333,29.2639166,31.5,55.12,13.39
2.62202E+15,-1.711972222,29.59413889,2370,2370,340303,GS JOMBA,GOVERNMENT_AIDED,12YBE,NYABIHU,JOMBA,GISIZI,GISIZI,ON GRID,USB_MODEM,3G,1406,24,,eb9aaa8e-9b4a-4aa2-b712-79c8e8128ac7,G_RWA_02370,-1.711972222,29.59413889,41.18,49.26,9.56
2.62411E+15,-2.08631,29.76161,2487,2487,270849,SAINTE CAROLINE,PRIVATE,"""PRE_PRIMARY,PRIMARY""",MUHANGA,NYAMABUYE,GAHOGO,NYARUCYAMUII,OFF GRID,NONE,None,270,20,,58ba646f-3063-4cef-a711-e90545b8290f,G_RWA_02487,-2.08631,29.76161,28.57,63.47,7.96
2.63045E+15,-1.66475,30.2679722,2714,2714,530509,Nyagisozi,GOVERNMENT_AIDED,PRIMARY,GATSIBO,KAGEYO,NYAGISOZI,NYAGISOZI,OFF GRID,NONE,None,282,20,,94e2791f-6f3d-4ead-86ec-e68d6f76f047,G_RWA_02714,-1.66475,30.2679722,39.06,57.03,3.91
