tile_bigint,clean_lat,clean_lon,uuid,country,source,giga_school_id,source_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity_availability,num_students,num_teachers,num_computers,computer_lab,percent_2g,percent_3g,percent_4g
2.09E+15,9.13655,-12.84252,e89f4ca0-9549-3a76-a2a2-3b3d01d4d565,Sierra Leone,government,G_SL_002958,220503101,"""KDC PREPARATORY SCHOOL  (KAWULA SECTION, KAWULA TOWN (9.136481 ; -12.84247)""",Primary,9.13655,-12.84252,8854ea26d7fffff,1,2020,17:40.1,No,No,No,73,3,,No,11.02,74.02,14.96
2.10E+15,9.005672,-12.38289,78b7b605-f18b-34e1-aa98-777e7196f496,Sierra Leone,government,G_SL_003203,210501217,"""BOMBALI DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL  (MANDAHUWA SECTION, MASEBRA TOWN (9.005715 ; -12.38272)""",Primary,9.005672,-12.38289,8854eb1097fffff,1,2020,17:40.1,No,No,No,254,5,,No,11.9,73.02,15.08
2.10E+15,8.982324,-12.50438,0c4e3ad0-32a4-302b-8b96-3e9f2ffe7f46,Sierra Leone,government,G_SL_003244,241101206,"""EVANGELICAL MODEL PRIMARY SCHOOL  (GBARAY BANA SECTION, MAKASSIE TOWN (8.982318 ; -12.50469)""",Primary,8.982324,-12.50438,8854eb18dbfffff,1,2020,17:40.1,No,No,No,257,4,,No,11.02,74.02,14.96
2.10E+15,9.493367,-12.24449,3c616804-f697-37bb-8264-d531cd9cf9a7,Sierra Leone,government,G_SL_003370,211201118,"""B.D.E.C PRE SCHOOL  (KAMAKWIE SECTION, KAMAKWEI TOWN (9.493204 ; -12.24442)""",Primary,9.493367,-12.24449,8854e866cbfffff,1,2020,17:40.1,No,No,No,76,2,,No,11.2,73.6,15.2
2.09E+15,8.48555,-12.91187,2cbe0187-a548-31cc-a98c-d47638b77b7e,Sierra Leone,government,G_SL_003823,240501216,"""CHURCH OF GOD PRIMARY SCHOOL  (FUTHA SECTION SECTION, ROFUTHA TOWN (8.485531 ; -12.91189)""",Primary,8.48555,-12.91187,8854cca489fffff,1,2020,17:40.1,No,No,No,145,2,,No,12,72.8,15.2
2.09E+15,8.55773,-12.7972,356a3a18-9a7f-32ba-b989-47de6f9ce2bd,Sierra Leone,government,G_SL_004053,240706348,"""DISTRICT EDUCATION COMMUNITTEE  (GBERAY BANA SECTION, GBERAY BANA TOWN (8.557675 ; -12.79699)""",Primary,8.55773,-12.7972,8854eb6839fffff,0.94,2020,17:40.1,No,No,No,244,7,,No,11.9,73.02,15.08
2.09E+15,8.70814,-12.6808,1dff5ec6-5d46-3ec5-a76a-82906b065519,Sierra Leone,government,G_SL_004099,240706340,"""SIERRA LEONE CHURCH PRIMARY SCHOOL  (BATHPOLON SECTION, ROGBERE JUNCTION TOWN (8.708134 ; -12.68068)""",Primary,8.70814,-12.6808,8854eb71adfffff,0.94,2020,17:40.1,No,No,No,430,6,,No,12,72.8,15.2
2.09E+15,8.609634,-12.70144,babc388c-e5a1-3dd1-80df-b5596f8ed6a4,Sierra Leone,government,G_SL_004166,240801301,"""MOVEMENT OF FAITH ISLAMIC JUNIOR SECONDARY SCHOOL  (ROGBELLA SECTION, MASESSEH TOWN (8.860175 ; -12.8386)""",Secondary,8.609634,-12.70144,8854eb611dfffff,1,2020,17:40.1,No,No,No,200,7,,No,11.9,73.02,15.08
2.10E+15,8.928113,-12.00692,174270b8-4b2f-3e3d-bbc2-872272054eed,Sierra Leone,government,G_SL_004435,210701218,GBASIA COMMUNITY PRIMARY SCHOOL,Primary,8.928113,-12.00692,8854eba2b3fffff,1,2020,17:40.1,No,No,No,138,8,,No,11.81,73.23,14.96
2.10E+15,8.860535,-12.05201,38be4bf7-563b-3049-88ec-36f8e909ba1d,Sierra Leone,government,G_SL_004601,219103111,"""AFRICA MUSLIM AGENCY NURSERY SCHOOL  (KAGBARA SECTION, AZZOLINE HIGH WAY MAKENI TOWN (8.860486 ; -12.05198)""",Primary,8.860535,-12.05201,8854ebae1dfffff,1,2020,17:40.1,No,No,No,54,4,,No,11.72,73.44,14.84
