,uuid,country,source,giga_school_id,source_school_id,school_name,education_level,latitude,longitude,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,internet_availability,number_of_students,number_of_teachers,computers,connectivity_type,coverage,coverage_type,2G_coverage,3G_coverage,4G_coverage
63,551ead4d-5a63-4b35-bba2-78c8cfba159b,Rwanda,government,G_RWA_00159,250603.0,GS RUSUSA,Secondary,-2.52883,29.57692,886ada945dfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2891,49,155.0,4G,YES,4G,YES,YES,YES
64,dc1a6da2-1879-4dda-9339-39a0ff524542,Rwanda,government,G_RWA_00165,280304.0,GS BUBAZI,Secondary,-1.92025,29.84844,886ad8d5ebfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,3129,58,238.0,4G,YES,4G,YES,YES,YES
65,51b1b15e-128a-4a41-a1ad-9e425e09793f,Rwanda,government,G_RWA_00167,370805.0,GS NYARUSANGE,Secondary,-2.51553,29.03203,886ade6315fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,3206,57,283.0,4G,YES,4G,YES,YES,YES
66,bc6b76da-9586-461c-961a-820fe143a6ca,Rwanda,government,G_RWA_00170,570403.0,GS MAREBA,Secondary,-2.24714,30.06964,886ad80a07fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,3897,57,243.0,4G,YES,4G,YES,YES,YES
67,467a75fd-081f-497f-b9b0-235f37703fd6,Rwanda,government,G_RWA_00172,210803.0,GS KARAMA,Secondary,-2.38875,29.82669,886ad84231fffff,0.67,2020,00:52.6,No,ON GRID,NONE,187,20,248.0,None,YES,4G,YES,YES,YES
68,3f8a1e5c-bfaf-4304-9e24-dd176834c84d,Rwanda,government,G_RWA_00173,260113.0,GS RUSORORO,Secondary,-2.25747,29.69072,886ad85301fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,232,13,408.0,None,YES,4G,YES,YES,YES
69,5f196471-b063-47e1-bd08-b9996370f5f2,Rwanda,government,G_RWA_00174,441203.0,GS MUGANO,Secondary,-1.60433,29.86117,886adc6423fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,265,20,178.0,None,YES,4G,YES,YES,YES
70,18ada197-dd45-4e5d-86a0-d8e9a5139ab3,Rwanda,government,G_RWA_00177,341008.0,MURAMA,Secondary,-1.6035,29.60625,886adc78b9fffff,0.61,2020,00:52.6,No,OFF GRID,NONE,307,12,326.0,None,YES,4G,YES,YES,YES
71,ef6771b2-ea6b-4a12-b58e-42131b6ced2f,Rwanda,government,G_RWA_00179,451608.0,GS MABARE,Secondary,-1.58458,30.10442,886ad890d9fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,369,17,257.0,None,YES,4G,YES,YES,YES
72,6d34b5d2-b240-465a-85f6-f1ba3c1dccb0,Rwanda,government,G_RWA_00183,230704.0,GS MUNINI,Secondary,-2.71369,29.53931,886ada8081fffff,0.67,2020,00:52.6,No,ON GRID,NONE,388,18,291.0,None,YES,4G,YES,YES,YES
73,b2368682-6c2d-471d-a759-04e7c4460be3,Rwanda,government,G_RWA_00185,411402.0,GS MUTARA,Secondary,-1.652222222,29.95416667,886ad89a53fffff,1.0,2020,00:52.6,No,ON GRID,NONE,408,20,212.0,None,YES,4G,YES,YES,YES
74,06f65b59-fcf5-49df-b278-6130f67b311a,Rwanda,government,G_RWA_00188,340503.0,GS GATAGARA,Secondary,-1.6499722,29.5401944,886adc79a3fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,461,17,233.0,None,YES,4G,YES,YES,YES
75,96c14cd5-0076-4082-af32-e163696b2762,Rwanda,government,G_RWA_00189,260605.0,GS MBUYE,Secondary,-2.12494,29.83972,886ad8cc43fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,461,18,308.0,None,YES,4G,YES,YES,YES
76,4d0d9d04-54b3-4dc6-9898-f512a5541c1a,Rwanda,government,G_RWA_00197,310606.0,GS MUBUGA,Secondary,-2.14389,29.57453,886ade348bfffff,0.67,2020,00:52.6,No,OFF GRID,NONE,532,20,239.0,None,YES,4G,YES,YES,YES
77,c02a6d59-e356-4348-b73b-95da1fc836dc,Rwanda,government,G_RWA_00198,310906.0,GS KIBIRIZI,Secondary,-2.04961,29.39758,886adead37fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,532,20,372.0,None,YES,4G,YES,YES,YES
78,4aa42530-4e67-48b7-a840-1f99c456c05f,Rwanda,government,G_RWA_00200,570407.0,GS MAREBA,Secondary,-2.247138889,30.06963889,886ad80a07fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,532,20,448.0,None,YES,4G,YES,YES,YES
79,9bac841f-303e-4458-b9f5-5effffb67c00,Rwanda,government,G_RWA_00201,310704.0,GS NGOMA,Secondary,-2.09372,29.57283,886ade3695fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,532,20,263.0,None,YES,4G,YES,YES,YES
80,c62903a2-ace4-42bb-baa0-d7e892371127,Rwanda,government,G_RWA_00202,441605.0,GS RUHANGA,Secondary,-1.46344,29.83867,886adc74e3fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,532,20,299.0,None,YES,4G,YES,YES,YES
81,3abfa6a0-68d5-4843-9d7d-5b457703f73d,Rwanda,government,G_RWA_00205,210804.0,GS KATARARA,Secondary,-2.42639,29.92306,886ad84721fffff,0.67,2020,00:52.6,No,ON GRID,NONE,540,17,274.0,None,YES,4G,YES,YES,YES
82,f258eae4-b488-47ed-b1a4-5f359ae83899,Rwanda,government,G_RWA_00209,320509.0,GS KABEZA,Secondary,-1.9759166,29.4185555,886adeac6bfffff,0.67,2020,00:52.6,No,OFF GRID,NONE,591,17,404.0,None,YES,4G,YES,YES,YES
83,13caffbf-2abe-4a9b-aa3c-a9010dd83096,Rwanda,government,G_RWA_00210,121314.0,GS REMERA,Secondary,-1.94861,30.10556,886ad81219fffff,0.67,2020,00:52.6,No,ON GRID,NONE,593,11,275.0,None,YES,4G,YES,YES,YES
84,8f23bf7b-64a6-4aea-b314-c43ee8b06b92,Rwanda,government,G_RWA_00217,370110.0,GS NYANZA,Secondary,-2.41675,29.06681,886ade70b9fffff,0.67,2020,00:52.6,No,ON GRID,NONE,636,16,342.0,None,YES,4G,YES,YES,YES
85,31d8631c-8e8b-4b66-a668-84ddaa9345b3,Rwanda,government,G_RWA_00219,441604.0,GS NDAGO,Secondary,-1.46542,29.80956,886adc7433fffff,0.67,2020,00:52.6,No,OFF GRID,NONE,642,17,333.0,None,YES,4G,YES,YES,YES
