uuid,country,source,school_id,giga_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity,student_count,teacher_count,computer_count,computer_lab,fiber_node_distance,nearest_school_distance,Schools_within_1km,Schools_within_3km,Schools_within_10km,nearest_celltower_id,nearest_celltower_distance,2G,3G,4G,pop_within_1km,pop_within_3km,pop_within_7km
eb922db7-28ab-3a85-a264-83fbaf6fb565,Sierra Leone,government,319103320,G_SL_006749,"COVENANT INTERNATIONAL ACADEMY  (JABBA LAYOUT SECTION, SOWA TOWN TOWN (7.991888 ; -11.73519)",Primary,7.991923,-11.73526,8875b62937fffff,1,2020,44390.5956,No,No,No,161,7,,No,61.98908509,0.133907061,154,537,837,445,1.559165882,1,1,1,97042,364701,481716
dd3f587d-09ef-3ef3-9a77-603289a5a652,Sierra Leone,government,319101307,G_SL_006750,"DORCAS ACADEMY JUNIOR SECONDARY SCHOOL  (SAMAMIE SECTION, NGALU ROAD TOWN (7.970808 ; -11.73309)",Secondary,7.970351,-11.73295,8875b66699fffff,1,2020,44390.5956,No,Yes,No,174,16,,No,61.29470884,0.097701509,352,536,846,478,0.184706577,1,1,1,257529,364197,488402
15d3d809-04ce-3156-a3c0-81951d3bd143,Sierra Leone,government,319101217,G_SL_006751,"DORCAS PRIMARY SCHOOL  (SAMAMIE SECTION, NGALU ROAD TOWN (7.971087 ; -11.73358)",Primary,7.971075,-11.73349,8875b66699fffff,1,2020,44390.5956,No,Yes,No,300,12,,No,61.36687382,0.00208489,354,536,844,341,0.223546801,1,1,1,252999,364232,488176
effb5ac8-fe1e-3b8b-b84c-c106d4e75191,Sierra Leone,government,319103161,G_SL_006752,"EVERY NATION ACADEMY PRE SCHOOL  (SAMAMIE SECTION SECTION, KEBBIE TOWN TOWN (7.970982 ; -11.76348)",Primary,7.97095,-11.76341,8875b666abfffff,1,2020,44390.5956,No,No,No,100,3,,No,64.61840441,0.023247886,196,532,843,439,0.513564679,1,1,1,132221,364772,476179
4150bd3b-9366-3604-b0e3-3ffae74773cc,Sierra Leone,government,310801256,G_SL_006753,"FALABA COMMUNITY PRIMARY SCHOOL  (SAMAMEI SECTION SECTION, FALABA TOWN (7.979544 ; -11.76399)",Primary,7.979524,-11.76393,8875b666e3fffff,1,2020,44390.5956,No,No,No,300,5,,No,64.83344161,0.323183017,152,531,839,439,1.38146519,1,1,1,92366,363177,473151
3360014d-f0f3-3a05-899f-fe6df7fc489c,Sierra Leone,government,319101219,G_SL_006754,"FORUM FOR AFRICAN WOMEN EDUCATIONIST PRIMARY SCHOOL FOR GIRLS  (KORTUGBUMA SECTION, KORTUGBUMA TOWN (7.969557 ; -11.74376)",Primary,7.969454,-11.74365,8875b6669dfffff,1,2020,44390.5956,No,No,No,259,12,,No,62.44173394,0.075886254,368,535,842,431,0.299350685,1,1,1,248329,364319,482873
d296898e-d4f7-3579-ba80-dab91118481f,Sierra Leone,government,319102328,G_SL_006755,"GRACE ACADEMY JUNIOR SECONDARY SCHOOL  (SAMAMIE SECTION, GEOMA VILLAGE TOWN (7.99154 ; -11.7674)",Secondary,7.991574,-11.76755,8875b666edfffff,1,2020,44390.5956,No,No,No,102,7,,No,65.47037961,0.136634563,34,526,833,439,2.772558829,1,1,1,29759,359176,469151
b995f922-f15e-3640-ac27-93db61bd5f1b,Sierra Leone,government,310801202,G_SL_006756,"GREAT KAKUA SCHOOL FOR THE DEAF  (NEW YORK SECTION, NEW YORK TOWN (7.963316 ; -11.76423)",Primary,7.963216,-11.76418,8875b666bdfffff,1,2020,44390.5956,No,Yes,No,126,7,,No,64.57095509,0.351423323,192,537,841,389,0.60700724,1,1,1,146967,367124,478678
3e42c016-67c6-33fe-99dc-f002b000221b,Sierra Leone,government,310801314,G_SL_006757,"GULF INTERNATIONAL JUNIOR SECONDARY SCHOOL  (MENDEKWI EXTENSION LAYOUT RESERVATION SECTION SECTION, RESERVATION TOWN (7.974446 ; -11.74958)",Secondary,7.974435,-11.74954,8875b66681fffff,0.67,2020,44390.5956,No,Yes,No,45,7,5,Yes,63.17377092,0.002897743,294,534,840,492,0.681046891,1,1,1,195038,364357,480176
2c1f22af-01b3-3eb7-b70d-bd1c4ce8d840,Sierra Leone,government,310801267,G_SL_006758,"GULF INTERNATIONAL PRIMARY SCHOOL  (MENDEKWI EXTENSION LAYOUT RESERVATION SECTION, RESERVATION TOWN (7.974413 ; -11.74953)",Primary,7.974418,-11.74952,8875b66681fffff,0.67,2020,44390.5956,No,Yes,No,94,7,,No,63.17127855,0.002897743,295,534,840,492,0.678628482,1,1,1,195153,364357,480176
de3ab4b3-eb2b-3d22-93fa-98ea82f76466,Sierra Leone,government,319103408,G_SL_006759,"GULF INTERNATIONAL SENIOR SECONDARY SCHOOL BO  (MENDEKWI EXTENSION LAYOUT RESERVATION SECTION SECTION, RESERVATION TOWN (7.974429 ; -11.74961)",Secondary,7.97444,-11.74961,8875b66681fffff,0.67,2020,44390.5956,No,Yes,No,50,9,5,Yes,63.18147018,0.003563833,294,534,840,492,0.683767861,1,1,1,193424,364357,480159
040ffd65-5e76-3106-9243-8a08902c77ce,Sierra Leone,government,319101141,G_SL_006760,"HAIKAL  (DAMBALA ROAD SECTION, DAMBALLA ROAD TOWN (7.969611 ; -11.74093)",Primary,7.969614,-11.74082,8875b6669dfffff,1,2020,44390.5956,No,No,No,52,4,,No,62.1368234,0.058041239,370,536,843,354,0.228456566,1,1,1,256159,364246,484334
f94a1ae7-55cf-3f9f-94c2-c92eb5729dae,Sierra Leone,government,319102205,G_SL_006761,"INTEGRITY  FOUNDATION  ACADEMY  PRIMARY  SCHOOL, BO  (NJAGBOIMA SECTION, NJAGBOIMA TOWN (7.955942 ; -11.74596)",Primary,7.955952,-11.74578,8875b666bbfffff,0.67,2020,44390.5956,No,No,No,59,7,,No,62.44819607,0.016541591,376,539,843,386,0.126495908,1,1,1,281545,368430,485599
