SCHOOL_CODE,SCHOOL_NAME,school_region,LATITUDE,LONGITUDE,connectivity,uuid,Coverage,Coverage_type,2G_coverage,3G_coverage,4G_coverage,5G_coverage,2G_coverage_distance,3G_coverage_distance,4G_coverage_distance,5G_coverage_distance,2G_Best_Coverage_provider,3G_Best_Coverage_provider,4G_Best_Coverage_provider,5G_Best_Coverage_provider,2G_coverage_present,3G_coverage_present,4G_coverage_present,5G_coverage_present,Distance_to_nearest_tower,Data_Source
G_CRI_001074,SAN MIGUEL OESTE,Rural,10.07486771,-84.40868616,YES,b25c41a7-0540-3920-9c34-33d287fdc8de,YES,4G,Excellent,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001106,REPUBLICA DE CUBA,Rural,10.13987429,-84.39394116,YES,22b2320f-fdd9-341d-a113-6ea27b47d092,YES,4G,Excellent,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001195,EL ROBLE,Rural,10.84604187,-84.31097051,YES,fcf8efb1-3407-3de4-8e2b-d3ead835caba,YES,4G,Fair,Good,Poor,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001235,VIENTO FRESCO,Rural,10.61436557,-84.79327099,YES,930ae17d-7fb5-3025-a733-c3e85447d2f8,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001284,ERMIDA BLANCO GONZALEZ,Urban,10.33013351,-84.48802594,NO,f9e3a3e6-f36f-3ba3-b669-575c3f05d113,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001302,LA FORTUNA,Urban,10.47217962,-84.64245608,YES,46ce1287-1307-36a6-ae5a-4df1879b5d1c,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001308,LA TABLA,Rural,10.41425481,-84.24036731,YES,84e0379e-4e7e-3265-9ef6-4df2eb3cdede,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001325,LA TIRICIA,Rural,10.92457512,-84.37420301,YES,0bfb9a36-fde6-367c-a67f-7920366fa2ba,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001335,JUAN FELIX ESTRADA,Rural,10.33898532,-84.25293954,YES,4d0c5921-ef85-3cef-acbd-5692cced3be0,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001401,REPUBLICA DE ITALIA,Urban,10.35805058,-84.51504479,YES,47dedc94-b363-3a60-a835-ad92b67e00c7,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001419,PALENQUE TONJIBE,Rural,10.63111486,-84.7862526,YES,9f3ffaa1-dc4d-31e2-bc2f-9977396ab336,YES,4G,Fair,Good,Poor,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001423,OSCAR RULAMAN SALAS,Rural,10.51418127,-84.2466119,YES,68b41217-0584-3db9-92d8-0b9cd266b7ce,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001458,SAN JOSE,Rural,10.43563994,-84.34065335,YES,cdd7d36c-d5b2-357c-8b67-4c425ad6426a,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001465,EL CARMEN,Rural,10.69441065,-84.8102755,YES,a7c4a3d7-0008-37d2-8bf0-ec898133f306,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001511,ARGENTINA GONGORA DE ROBERT,Urban,10.01156838,-83.83494128,YES,4d8772aa-83cd-3f3a-9f45-3c542614cd53,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
